1995	448342	320	1952	36	179	223	937	259	1116	941	377	61	54	583	112	644	166	215	1160	1375
1996	458013	364	2117	60	231	233	1053	293	1284	1034	435	85	83	659	138	744	221	291	1286	1577
1997	449087	416	2484	62	290	277	1187	339	1477	1239	517	118	81	735	184	853	265	352	1464	1816
1998	470863	462	2784	78	390	301	1367	379	1757	1316	587	140	115	819	213	959	328	468	1668	2136
1999	488176	600	2823	126	407	366	1411	492	1818	1394	579	159	115	846	221	1005	336	533	1777	2310
2000	526346	667	3138	109	501	455	1611	564	2112	1606	648	220	123	1003	267	1223	390	610	2066	2676
2001	541272	805	3412	123	560	546	1777	669	2337	1780	688	240	139	1136	281	1376	420	683	2323	3006
2002	567544	854	3739	170	646	563	1927	733	2573	1975	732	310	149	1245	294	1555	443	816	2490	3306
2003	586170	894	4255	186	764	573	2244	759	3008	2129	795	372	154	1299	349	1671	503	950	2817	3767
2004	620757	1110	4731	230	927	705	2479	935	3406	2441	859	439	178	1473	399	1912	577	1157	3184	4341
2005	656987	1294	5125	249	1045	889	2661	1138	3706	2651	931	534	188	1614	441	2148	629	1294	3550	4844
2006	687282	1510	5856	330	1249	986	3151	1316	4400	2994	1037	640	220	1826	503	2466	723	1579	4137	5716
2007	712625	1815	6951	438	1631	1098	3552	1536	5183	3647	1269	876	286	2071	633	2947	919	2069	4650	6719
2008	751436	2986	11367	839	3282	1628	5398	2467	8680	5934	2093	1719	557	3092	939	4811	1496	4121	7026	11147
2009	785315	4944	19171	1610	6120	2595	8694	4205	14814	10013	3273	3259	1046	4920	1447	8179	2493	7730	11289	19019
2010	833422	5948	22790	1884	7261	3159	10597	5043	17858	12042	3981	3971	1227	5969	1789	9940	3016	9145	13756	22901
2011	877401	7161	27487	2459	9138	3682	12630	6141	21768	14518	4737	5052	1523	6962	2126	12014	3649	11597	16312	27909
2012	940900	8670	33491	2918	11135	4471	15701	7389	26836	17570	5843	6070	1952	8576	2609	14646	4561	14053	20172	34225
2013	996632	10010	38809	3273	12387	5347	18949	8620	31336	20284	6848	6700	2135	10312	3261	17012	5396	15660	24296	39956
2014	1044260	10246	40369	3187	12653	5605	20156	8792	32809	21214	7040	6857	2086	10899	3456	17756	5542	15840	25761	41601
2015	1087259	11404	45897	3541	14252	6395	23297	9936	37549	24253	8098	7577	2462	12972	3985	20549	6447	17793	29692	47485